ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
1751.2812186032534 1179.3709988705814 1166.6380590759218 1386.0991992987692 804.1481813415885 873.8912199623883 1128.96986072883 1657.3823220096529 1.4677015133202076
695.6708803772926 751.392119564116 862.5580579973757 1156.907300464809 705.9942185878754 767.7101995795965 912.7507614903152 1248.9010603167117 245.02945831045508
724.0387797355652 724.3892201222479 850.5597594194114 1092.4688004888594 619.0354982391 668.136440217495 861.4117209799588 1172.4521010182798 1.1801812797784805
597.4776204675436 645.6000590696931 806.6072198562324 1069.8126815259457 615.0755798444152 664.0888610854745 857.7536605298519 1169.4844998419285 1.1606793850660324
597.7173009887338 646.9534407369792 804.7950989566743 1066.0190018825233 615.0252814404666 665.010898374021 862.5229797326028 1168.9558415673673 1.190041657537222
591.0220998339355 630.485899746418 779.0806610137224 1012.2550185769796 591.4936191402376 637.9953399300575 791.9742004014552 1052.272340748459 211.6468595340848
625.3133597783744 674.4897994212806 852.7688612230122 1177.323020529002 630.6275608949363 680.9338601306081 859.0646204538643 1200.1525820232928 1.2124190106987953
618.645001668483 672.0077595673501 835.1466781459749 1152.3392610251904 627.1390407346189 677.599438931793 859.0160007588565 1193.2923807762563 1.1705001816153526
619.8738585226238 672.3840208724141 842.4587803892791 1158.671418670565 626.8344796262681 678.859141189605 856.4655412919819 1195.075900759548 1.175419893115759
656.7378994077444 702.2301200777292 864.8800197988749 1174.7276806272566 654.1706388816237 700.4509610123932 866.7942997999489 1181.466020643711 261.9158197194338
769.1853400319815 816.4498792029917 1175.464279949665 1769.0313002094626 770.4780995845795 818.1695803068578 1182.0675805211067 1783.8094802573323 1.177680678665638
762.2829219326377 811.42544047907 1164.4447408616543 1760.1096397265792 766.7191000655293 822.7759995497763 1178.7421605549753 1859.83263887465 1.218200195580721
774.8678606003523 806.7529392428696 1126.3550794683397 1696.642020251602 778.8787200115621 816.9280015863478 1167.2699195332825 1702.0308808423579 1.1773593723773956
879.177120514214 909.6415410749614 1254.8805004917085 1877.0828796550632 867.2177395783365 906.0534602031112 1284.2924194410443 1958.3006785251198 315.27236104011536
963.1393780000508 1021.7131418175996 1561.5990990772843 2477.198000997305 994.2181780934333 1050.9084188379347 1667.430258821696 2664.0015211887658 1.2025819160044193
952.1522815339267 1016.1003400571645 1545.2899015508592 2447.940579149872 990.2624203823507 1048.1402999721467 1637.5293000601232 2621.8859595246613 1.2329011224210262
893.7168586999178 939.0049194917083 1442.0645195059478 2271.8808194622397 890.1734813116491 944.2586801014841 1443.4928400442004 2274.096659384668 1.1646188795566559
962.0233997702599 1004.9687419086695 1505.8775804936886 2329.983280505985 950.4493209533393 1004.5223403722047 1502.209259197116 2342.8560001775622 383.93887924030423
1152.4299392476678 1189.1565006226301 2081.1851392500103 3477.9354790225625 1146.0488196462393 1186.8429998867214 2089.8490003310144 3436.808241531253 1.234780065715313
1148.3598197810352 1178.0024995096028 2070.313901640475 3952.4849015288055 1372.9605195112526 1427.7073787525296 2419.0601194277406 3970.5527201294894 2.191981766372919
1367.1743404120207 1422.414560802281 2395.242261700332 3981.237481348217 1374.5588203892112 1430.7291805744171 2415.3150198981166 3990.6926406547423 2.15606065467
1621.2645987980068 1664.2573196440935 2664.8567407391965 4227.677381131798 1621.503799688071 1664.220541715622 2682.2445006109774 4252.62251868844 706.6331803798676
