ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
3.08029603958 3.14889812469 3.64209032059 4.85919761658 3.32052183151 3.43532562256 4.43399190903 6.09734582901 1.28105401993
1.75784015656 1.93742609024 2.00011396408 2.58753204346 1.73041772842 1.91301584244 2.11995220184 2.91713809967 1.28105401993
1.84989595413 1.89436817169 1.9482421875 2.49393558502 1.89231014252 2.11138629913 2.18749570847 2.95822572708 1.28105401993
1.86665821075 1.91146993637 1.99145364761 2.42210388184 1.75023174286 1.93929386139 2.15898799896 2.84659433365 1.27271175385
1.89965629578 1.90928792953 1.9484796524 2.48624610901 1.8859500885 1.98966789246 2.25759363174 3.02344989777 1.23207616806
1.35465192795 1.36357593536 1.40025997162 1.68225002289 1.33830404282 1.54053211212 1.42199420929 1.88257598877 0.8316822052
1.39513778687 1.6066699028 1.42225790024 1.57978200912 1.28833007812 1.5573759079 1.37416410446 1.62254810333 0.8316822052
1.34086608887 1.32039022446 1.32911777496 1.44716215134 1.32579612732 1.41721630096 1.31395816803 1.42583608627 0.876873970032
1.3670539856 1.42823600769 1.39397621155 1.44872236252 1.31859207153 1.45438814163 1.33234977722 1.56138801575 0.795945644379
1.15232801437 1.30163002014 1.26882839203 1.41086196899 1.16613006592 1.33955812454 1.16965389252 1.44800615311 0.762333869934
1.51138591766 1.45029592514 1.57240009308 1.50576400757 1.37335634232 1.38235378265 1.50204610825 1.73297166824 0.762333869934
1.41351795197 1.47320556641 1.44454193115 1.73836612701 1.46040010452 1.61476993561 1.62929964066 1.59876394272 0.729579925537
1.35886192322 1.51059579849 1.583111763 1.67599010468 1.54854393005 1.49583816528 1.75109577179 1.83356618881 0.748125553131
1.54573011398 1.44612836838 1.57967805862 1.62860012054 1.48723983765 1.477394104 1.50184631348 1.74101209641 0.762333869934
1.60646820068 1.6720995903 1.73842382431 1.94547176361 1.44287586212 1.67832231522 1.71669006348 2.15660381317 0.942719936371
1.76967811584 1.63703775406 1.64902973175 2.0879483223 1.42742395401 1.62543201447 1.6718120575 1.95425415039 0.760412216187
1.64458179474 1.77045440674 1.81495809555 2.05090761185 1.62522792816 1.84384202957 1.82169818878 2.05669784546 0.795097827911
1.3992638588 1.5940861702 1.54850006104 1.75606775284 1.46246814728 1.46869373322 1.6088142395 1.95290756226 0.762333869934
1.37844991684 1.51870203018 1.66917991638 2.41264390945 1.49181175232 1.49185991287 1.69319009781 2.523458004 0.739340305328
1.48648834229 1.37876176834 1.8560256958 2.38272380829 1.42746591568 1.5412902832 1.8339600563 2.54551410675 0.75393819809
1.47816419601 1.41253995895 1.77629184723 2.40023803711 1.37655210495 1.49535369873 1.80572366714 2.38111019135 0.750440120697
1.60803413391 1.47911214828 1.76323795319 2.6218380928 1.51500034332 1.5572180748 1.86639213562 2.6799621582 0.762333869934
