ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
1731.840920401737 1108.457240043208 1052.2529599256814 1195.1187602244318 750.2410002052784 808.958180132322 992.3740196973085 1341.6527002118528 1.507480046711862
674.0410201018676 737.7393601927906 815.1458000065759 1046.6551803983748 676.9923999672756 735.9856000402942 844.1012602997944 1079.7378601273522 233.93078008666635
674.2937403032556 693.9019804121926 851.9353199517354 1069.3097801413387 624.9108002521098 639.1549395630136 821.5244801249355 1047.2272400511429 1.2715795310214162
581.6704599419609 621.5915596112609 752.0959002431482 961.0758203780279 587.1338600991294 633.8314799359068 783.9092198992148 1058.674100204371 1.2500799493864179
582.184239756316 621.7645201832056 754.9432199448347 966.3481201278046 604.2345002060756 634.1974600218236 788.716779788956 1036.750019993633 1.282599987462163
579.0975602576509 614.457160118036 736.0154797788709 932.4512799503282 577.6730796787888 616.1022395826876 743.7869202112779 948.4780800994486 205.616140156053
625.210219877772 650.7888599298894 805.3398202173412 1085.8632798772305 605.5515800835565 652.5604001944885 809.4973000697792 1097.0830998849124 1.375399879179895
602.2319401381537 648.6796599347144 788.8141804141924 1066.3818003376946 604.929820401594 662.5900196377188 809.6074598142877 1093.7400598777458 1.286459737457335
605.8181199477986 650.5397998262197 790.9391401335597 1069.4519203389063 605.6797405472025 655.546160414815 807.8502200078219 1091.5782797383144 1.2662803055718541
637.1864204993472 703.0992000363767 821.068300283514 1090.7709004823118 631.4462400041521 675.4972599446774 817.0252601848915 1095.9287598961964 249.34467975981536
735.5270197149366 779.7434000531211 1092.7762795472518 1691.3957998622209 737.5957997282967 777.3907197406515 1092.7202401217073 1667.9116000887007 1.2272404273971915
725.6307796342298 769.7495399042964 1079.178939689882 1613.407019758597 732.1966398740187 793.6596003128216 1089.7098400164396 1623.934519593604 1.2475595576688647
729.0200801799074 770.9967799019068 1083.4437201265246 1601.7841396387666 728.5800401587039 773.5040195984766 1092.5641399808228 1634.8786401795223 1.231179921887815
834.2939399881288 869.3780796602368 1227.2843602113426 1802.441679756157 838.2284000981599 886.3521000603214 1273.2692004647106 1947.032400057651 309.50145970564336
936.264320043847 997.7361600613222 1516.0977595951408 2402.410899521783 965.1905001373962 1021.9231195515023 1609.7424598410726 2592.402499867603 1.2902799062430859
932.9591802088544 984.9279996706174 1503.68832051754 2442.539440235123 961.6909001488239 1019.648860092275 1597.0223397016525 2564.6724802209064 1.2850994244217873
871.0234798491001 913.5499800322577 1411.122300196439 2197.0320801483467 877.5636798236519 923.3639796730131 1415.7355402130634 2219.002380152233 1.2876198161393404
942.5492602167651 986.3540402147918 1507.1906201774254 2262.031599530019 936.943800188601 980.431320494972 1481.309260125272 2272.8499199729413 377.92186019942164
1130.4034397471696 1164.5741999382153 2024.171259836294 3358.2301199203357 1126.6846000216901 1170.6887395121157 2055.428660241887 3394.7495400207117 1.2828200124204159
1117.4678796669468 1154.6653596451506 2080.275600310415 3362.879080232233 1120.1391200302169 1162.049820413813 2023.1485000113025 3399.0035200258717 1.2556998990476131
1117.8251600358635 1148.1889197602868 2021.0439601214603 3405.02941980958 1124.7434199322015 1174.7740802820772 2286.1891199136153 3523.398020188324 1.2361601693555713
1476.5723404707387 1476.8050197744742 2274.96801991947 3613.6448400793597 1334.1806799871847 1357.5303996913135 2261.0379999969155 3606.6906398627907 594.414800289087
